numero_item,descricao,tipo,marca,modelo,quantidade,unidade,valor_unitario,valor_total,fornecedor,cnpj_fornecedor,especificacoes,observacoes,raw_descricao
1,ACIDO FOLICO,produto,exames,laboratorio,180.0,UN,7.02,1263.6,,,[],,"Item: 1\nUnidade: UN\nDescrição: ACIDO FOLICO\nQuantidade: 180\nVal. Ref.: 11,98\nValor Unit.: 7,02\nTotal Item: 1.263,60"
2,ACIDO URICO,produto,exames,laboratorio,370.0,UN,1.05,388.5,,,[],,"Item: 2\nUnidade: UN\nDescrição: ACIDO URICO\nQuantidade: 370\nVal. Ref.: 1,80\nValor Unit.: 1,05\nTotal Item: 388,50"
3,ACIDO URICO URINARIO,produto,exames,laboratorio,30.0,UN,0.91,27.3,,,[],,"Item: 3\nUnidade: UN\nDescrição: ACIDO URICO URINARIO\nQuantidade: 30\nVal. Ref.: 1,56\nValor Unit.: 0,91\nTotal Item: 27,30"
4,ACIDO VANIL MANDELICO.,produto,exames,laboratorio,20.0,UN,143.81,2876.2,,,[],,"Item: 4\nUnidade: UN\nDescrição: ACIDO VANIL MANDELICO.\nQuantidade: 20\nVal. Ref.: 245,38\nValor Unit.: 143,81\nTotal Item: 2.876,20"
5,ALBUMINA,produto,exames,laboratorio,20.0,UN,1.07,21.4,,,[],,"Item: 5\nUnidade: UN\nDescrição: ALBUMINA\nQuantidade: 20\nVal. Ref.: 1,82\nValor Unit.: 1,07\nTotal Item: 21,40"
6,ALDOSTERONA.,produto,exames,laboratorio,10.0,UN,5.76,57.6,,,[],,"Item: 6\nUnidade: UN\nDescrição: ALDOSTERONA.\nQuantidade: 10\nVal. Ref.: 9,82\nValor Unit.: 5,76\nTotal Item: 57,60"
7,ALFA FETO,produto,exames,laboratorio,15.0,UN,5.76,86.4,,,[],,"Item: 7\nUnidade: UN\nDescrição: ALFA FETO\nQuantidade: 15\nVal. Ref.: 9,83\nValor Unit.: 5,76\nTotal Item: 86,40"
8,ALFA,produto,exames,laboratorio,12.0,UN,10.36,124.32,,,[],,"Item: 8\nUnidade: UN\nDescrição: ALFA\nQuantidade: 12\nVal. Ref.: 17,68\nValor Unit.: 10,36\nTotal Item: 124,32"
9,ALFA1 ANTITRIPSINA,produto,exames,laboratorio,12.0,UN,4.26,51.12,,,[],,"Item: 9\nUnidade: UN\nDescrição: ALFA1 ANTITRIPSINA\nQuantidade: 12\nVal. Ref.: 7,27\nValor Unit.: 4,26\nTotal Item: 51,12"
11,ALFA1 GLICOPROTEINA,produto,exames,laboratorio,12.0,UN,2.77,33.24,,,[],,"Item: 11\nUnidade: UN\nDescrição: ALFA1 GLICOPROTEINA\nQuantidade: 12\nVal. Ref.: 4,72\nValor Unit.: 2,77\nTotal Item: 33,24"
12,ANATOMO PATOLOGICO,produto,exames,laboratorio,100.0,UN,23.66,2366.0,,,[],,"Item: 12\nUnidade: UN\nMarca: exames\nModelo: laboratorio\nDescrição: ANATOMO PATOLOGICO\nQuantidade: 100\nValor Unit.: 23,66\nTotal Item: 2.366,00"
23,ANTIESTREPTOLISINA O,produto,exames,laboratorio,25.0,UN,1.77,44.25,,,[],,"Unidade: UN Marca: exames Descrição: ANTIESTREPTOLISINA O Quantidade: 25 Val. Ref.: 3,02 Total Item: 44,25"
24,ANTÍGENO CARCINOEMBRIÔGENICO,produto,exames,laboratorio,10.0,UN,5.25,52.5,,,[],,"Unidade: UN Marca: exames Descrição: ANTÍGENO CARCINOEMBRIÔGENICO Quantidade: 10 Val. Ref.: 8,96 Valor Unit.: 5,25 Total Item: 52,50"
25,ANTI RECEPTOR DE TSH,produto,exames,laboratorio,,UN,,307.8,,,[],,Unidade: UN Marca: exames Descrição: ANTI RECEPTOR DE TSH Modelo: laboratorio
26,BACTERIOSCOPIA (GRAM),produto,,laboratorio,10.0,UN,7.54,75.4,,,[],,Descrição: BACTERIOSCOPIA (GRAM)
27,BETA LACTOGLOBULINA,produto,,laboratorio,10.0,UN,11.0,110.0,,,[],,Descrição: BETA LACTOGLOBULINA
28,BILIRRUBINA TOTAL E FRACOES,produto,,laboratorio,60.0,UN,1.09,65.4,,,[],,Descrição: BILIRRUBINA TOTAL E FRACOES Quantidade: 60
29,BLOMIA TROPICALIS,produto,,laboratorio,10.0,UN,8.56,85.6,,,[],,Descrição: BLOMIA TROPICALIS
30,CA-125 (MARCADOR TUMORAL DE OVÁRIO),produto,,laboratorio,25.0,UN,5.75,143.75,,,[],,Descrição: CA-125 (MARCADOR TUMORAL DE OVÁRIO)
31,CA15-3 (MARCADOR TUMORAL CA 15-3),produto,,laboratorio,25.0,UN,14.25,356.25,,,[],,Descrição: CA15-3 (MARCADOR TUMORAL CA 15-3)
32,CALCIO,produto,,laboratorio,200.0,UN,1.01,202.0,,,[],,Descrição: CALCIO
33,CALCIO IONIZADO,produto,,laboratorio,14.0,UN,1.92,26.88,,,[],,Descrição: CALCIO IONIZADO
34,CAPTURA HIBRIDA,produto,,laboratorio,10.0,UN,85.31,853.1,,,[],,Descrição: CAPTURA HIBRIDA
35,DENGUE IGG,produto,,,,UN,,,,,[],,Descrição:  DENGUE IGG
48,COOMBS INDIRETO,produto,,laboratorio,20.0,UN,7.19,143.8,,,[],,Descrição: COOMBS INDIRETO
49,COPROCULTURA,produto,,laboratorio,,UN,,,,,[],,Descrição: COPROCULTURA
50,CORTISOL BASAL,produto,exames,laboratorio,12.0,UN,16.34,196.08,,,[],,Descrição: CORTISOL BASAL
51,CORTISOL LIVRE URINA 24HRS,produto,exames,laboratorio,5.0,UN,12.1,60.5,,,[],,Descrição: CORTISOL LIVRE URINA 24HRS
52,CREATININA,produto,exames,laboratorio,700.0,UN,0.99,693.0,,,[],,Descrição: CREATININA
53,CREATINO FOSFOQ. FRACAO MB,produto,exames,laboratorio,80.0,UN,2.14,171.2,,,[],,Descrição: CREATINO FOSFOQ. FRACAO MB
54,CREATINOFOSFOQUINASE,produto,exames,laboratorio,80.0,UN,1.86,148.8,,,[],,Descrição: CREATINOFOSFOQUINASE
55,CULTURA DE BAAR,produto,exames,laboratorio,36.0,UN,16.46,592.56,,,[],,Descrição: CULTURA DE BAAR
56,CULTURA GERAL,produto,exames,laboratorio,36.0,UN,10.67,384.12,,,[],,Descrição: CULTURA GERAL
57,CURVA GLICEMICA.,produto,exames,laboratorio,30.0,UN,5.1,153.0,,,[],,Descrição: CURVA GLICEMICA.
58,DEHIDROEPIANDROSTERONA.,produto,exames,laboratorio,20.0,UN,25.65,513.0,,,[],,Descrição: DEHIDROEPIANDROSTERONA.
60,DENGUE IGM,produto,exames,laboratorio,50.0,UN,11.18,559.0,,,[],,Descrição: DENGUE IGM
61,DESIDROGENASE LATICA,produto,exames,laboratorio,90.0,UN,9.65,549.7,,,[],,Descrição: DESIDROGENASE LATICA
