numero_item,descricao,tipo,marca,modelo,quantidade,unidade,valor_unitario,valor_total,fornecedor,cnpj_fornecedor,especificacoes,observacoes,raw_descricao
1,Switch - Tipo I,produto,H3C,S9850-32H,2,unidade,82044.0,164088.0,Roost Ltda,78.931.474/0009-00,"['Marca: H3C', 'Modelo: S9850-32H', 'Unidade: unidade', 'Quantidade: 2', 'Valor Unitário: 82.044,00', 'Valor Total: 164.088,00']",,Switch - Tipo I
2,Switch - Tipo II,produto,H3C,S6850-56HF,8,unidade,106000.0,848000.0,Roost Ltda,78.931.474/0009-00,"['Marca: H3C', 'Modelo: S6850-56HF', 'Unidade: unidade', 'Quantidade: 8', 'Valor Unitário: 106.000,00', 'Valor Total: 848.000,00']",,Switch - Tipo II
3,Transceiver 1 GE Base-T,produto,Skylane,SGT00P10DR0A000,12,unidade,400.0,4800.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: SGT00P10DR0A000', 'Unidade: unidade', 'Quantidade: 12', 'Valor Unitário: 400,00', 'Valor Total: 4.800,00']",,Transceiver 1 GE Base-T
4,Transceiver 10 GE Base-T,produto,Skylane,SPT00M301000000,20,unidade,1000.0,20000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: SPT00M301000000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 1.000,00', 'Valor Total: 20.000,00']",,Transceiver 10 GE Base-T
5,Transceivers 10GE-Base-LR,produto,Skylane,SPP13010100B000,20,unidade,200.0,4000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: SPP13010100B000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 200,00', 'Valor Total: 4.000,00']",,Transceivers 10GE-Base-LR
6,Transceivers 25GE-Base-LR,produto,Skylane,S2813010250F000,20,unidade,600.0,12000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: S2813010250F000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 600,00', 'Valor Total: 12.000,00']",,Transceivers 25GE-Base-LR
7,Transceivers 40GE-Base-LR,produto,Skylane,QFPQL010400D000,20,unidade,1500.0,30000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: QFPQL010400D000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 1.500,00', 'Valor Total: 30.000,00']",,Transceivers 40GE-Base-LR
8,Transceivers 100GE-Base- LR,produto,Skylane,Q28QD010C00D000,20,unidade,2000.0,40000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: Q28QD010C00D000', 'Unidade: unidade', 'Quantidade: 20', 'Valor Unitário: 2.000,00', 'Valor Total: 40.000,00']",,Transceivers 100GE-Base- LR
9,Cabo de interligaçao 10G (DAC) 5 metros,produto,Skylane,DAPSSM051000000,10,unidade,300.0,3000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAPSSM051000000', 'Unidade: unidade', 'Quantidade: 10', 'Valor Unitário: 300,00', 'Valor Total: 3.000,00']",,Cabo de interligaçao 10G (DAC) 5 metros
10,Cabo de interligaçao  10G (DAC) 10 metros,produto,Skylane,DAPSSM101000000,10,unidade,800.0,8000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAPSSM101000000', 'Unidade: unidade', 'Quantidade: 10', 'Valor Unitário: 800,00', 'Valor Total: 8.000,00']",,Cabo de interligaçao 10G (DAC) 10 metros
11,Cabo de interligaçao 40G (DAC) 3 metros,produto,Skylane,DAPQQM034000000,10,unidade,600.0,6000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAPQQM034000000', 'Unidade: unidade', 'Quantidade: 10', 'Valor Unitário: 600,00', 'Valor Total: 6.000,00']",,Cabo de interligaçao 40G (DAC) 3 metros
12,Cabo de interligaçao 40G (DAC) 10 metros,produto,Skylane,DAAQQM104000000,15,unidade,2000.0,30000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Skylane', 'Modelo: DAAQQM104000000', 'Unidade: unidade', 'Quantidade: 15', 'Valor Unitário: 2.000,00', 'Valor Total: 30.000,00']",,Cabo de interligação 40G (DAC) 10 metros
13,Software de Gerenciamento,software,H3C,AD-DC,2,unidade,700000.0,1400000.0,Roost Ltda,78.931.474/0009-00,"['Marca: H3C', 'Modelo: AD-DC', 'Unidade: unidade', 'Quantidade: 2', 'Valor Unitário: 700.000,00', 'Valor Total: 1.400.000,00']",,Software de Gerenciamento
14,Serviço de Instalação Serviços: Roost,serviço,Roost,-,1,unidade,30000.0,30000.0,Roost Ltda,78.931.474/0009-00,"['Marca: Roost', 'Modelo: -', 'Unidade: unidade', 'Quantidade: 1', 'Valor Unitário: 30.000,00', 'Valor Total: 30.000,00']",,Serviço de Instalação Serviços: Roost
